k_omega,d_des,alpha_1,T_c1,alpha_2,T_c2,p_T_x_0,p_T_y_0,z,sigma,dt
0.65,0.6,0.65,2,0.9,3,0,0,-0.0003928889927919954,"[0, 0]",0
t,tStep,p_a_x(t),p_a_y(t),p_T_x(t),p_T_y(t),pT_hat_x(t),pT_hat_y(t),P_11(t),P_12(t),P_21(t),P_22(t),q_1(t),q_2(t),xi_1(t),xi_2(t),varphi_x(t),varphi_y(t),u_x(t),u_y(t),z,sigma,dt
-0.1934947967529297,0,-0.9216137528419495,1.996992588043213,0.0,0.0,-1.25,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41903001514730065,-0.9079723819619477,0,0,-0.0003928889927919954,1.0,1.383873701095581
1.1903789043426514,1,-0.9216137528419495,1.996992588043213,0.0,0.0,-1.25,1.8,1.140884640859835,0.5265192178068414,0.5265192178068414,0.24298906023574615,1.375242950981216e-16,-2.3449204123843906e-17,0.0,0.0,0.41903001514730065,-0.9079723819619477,0,0,-0.0003928889927919954,1.0,0.02200031280517578
1.2123792171478271,2,-0.9216137528419495,1.996992588043213,0.0,0.0,-1.25,1.8,1.1339221843881404,0.5233060383106849,0.5233060383106849,0.24150617520565731,1.366850280205146e-16,-2.3306101081554638e-17,0.0,0.0,0.41903001514730065,-0.9079723819619477,0,0,-0.0003928889927919954,1.0,0.015499353408813477
1.2278785705566406,3,-0.9216137528419495,1.996992588043213,0.0,0.0,-1.25,1.8,1.1291250052747754,0.5210921361298784,0.5210921361298784,0.240484457493987,1.3610676738626874e-16,-2.3207502127533172e-17,0.0,0.0,0.41903001514730065,-0.9079723819619477,0,0,-0.0003928889927919954,1.0,0.015544891357421875
1.2435088157653809,4,-0.9216137528419495,1.996992588043213,0.0,0.0,-1.25,1.8,1.1243883034147608,0.5189061442521724,0.5189061442521724,0.23947562041058615,1.3553579678936638e-16,-2.31101461944166e-17,0.0,0.0,0.41903001514730065,-0.9079723819619477,0,0,-0.0003928889927919954,1.0,0.015369653701782227
1.258878469467163,5,-0.9216137528419495,1.996992588043213,0.0,0.0,-1.25,1.8,1.1197777998911507,0.5167783930124701,0.5167783930124701,0.23849366143042905,1.3498003836785408e-16,-2.3015384082309143e-17,0.0,0.0,0.41903001514730065,-0.9079723819619477,0,0,-0.0003928889927919954,1.0,0.01549983024597168
1.2743782997131348,6,-0.9216137528419495,1.996992588043213,0.0,0.0,-1.25,1.8,1.1151997087513463,0.5146656001150554,0.5146656001150554,0.23751860573777264,1.3442818699362395e-16,-2.2921288159031636e-17,0.0,0.0,0.41903001514730065,-0.9079723819619477,0,0,-0.0003928889927919954,1.0,0.015194416046142578
1.2895727157592773,7,-0.9216137528419495,1.996992588043213,0.0,0.0,-1.25,1.8,1.1107813873785295,0.5126265410989909,0.5126265410989909,0.23657757829314763,1.3389559455565787e-16,-2.283047606809329e-17,0.0,0.0,0.41903001514730065,-0.9079723819619477,0,0,-0.0003928889927919954,1.0,0.015537500381469727
1.3056108951568604,8,-0.9216137528419495,1.996992588043213,0.0,0.0,-1.25,1.8,1.106331951601423,0.510573122759273,0.510573122759273,0.23562992400862362,1.3335925153120468e-16,-2.2739024466382995e-17,0.0,0.0,0.41903001514730065,-0.9079723819619477,0,0,-0.0003928889927919954,1.0,0.01504373550415039
1.3206546306610107,9,-0.9216137528419495,1.996992588043213,0.0,0.0,-1.25,1.8,1.1020908501930264,0.5086158509052972,0.5086158509052972,0.2347266414078393,1.3284802150781704e-16,-2.265185487090097e-17,0.0,0.0,0.41903001514730065,-0.9079723819619477,0,0,-0.0003928889927919954,1.0,0.01534891128540039
