k_omega,d_des,alpha_1,T_c1,alpha_2,T_c2,p_T_x_0,p_T_y_0,z,sigma,dt
1,0.6,0.5,2,0.9,3,0,0,0.0006270183366723359,"[0, 0]",0
t,tStep,p_a_x(t),p_a_y(t),p_T_x(t),p_T_y(t),pT_hat_x(t),pT_hat_y(t),P_11(t),P_12(t),P_21(t),P_22(t),q_1(t),q_2(t),xi_1(t),xi_2(t),varphi_x(t),varphi_y(t),u_x(t),u_y(t),z,sigma,dt
-0.1929936408996582,0,1.9459385871887207,1.3161048889160156,0.0,0.0,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8237605362893204,-0.5669378968214519,0,0,0.000654954113997519,1.0,1.3972902297973633
1.204296588897705,1,1.9459365606307983,1.3161119222640991,0.0,0.0,1.25,1.0,0.4491150399057159,-0.6525639725312737,-0.6525639725312737,0.9481751898916475,0.015107651660468829,-0.02195141179249719,0.0,0.0,-0.8269955831163981,-0.5622084182098029,0,0,0.0006741831894032657,1.0,0.023508071899414062
1.2278046607971191,2,1.945930004119873,1.316102147102356,0.0,0.0,1.25,1.0,0.4459876027881834,-0.6481533858745465,-0.6481533858745465,0.9419630997221689,0.014826553824212444,-0.021544308037402912,-0.6969385809075721,-0.3167931160120775,-0.8319239125853638,-0.5548897220787746,0,0,0.0006771304761059582,1.0,0.015492439270019531
1.2437973022460938,3,1.945937991142273,1.3161107301712036,0.0,0.0,1.2796016726934574,1.0134554269036422,0.44384832932522345,-0.6452636221204733,-0.6452636221204733,0.9380920704867257,0.014466871338923982,-0.021015655852277965,-0.6666353054987599,-0.30285488532450916,-0.8238834285729578,-0.5667592929303127,0,0,0.0006762165576219559,1.0,0.015000104904174805
1.2592976093292236,4,1.9459290504455566,1.3161015510559082,0.0,0.0,1.3070988190112929,1.0259474821940664,0.4420088329625549,-0.6425888029236755,-0.6425888029236755,0.9342024207850725,0.014407624900073758,-0.020929747779316336,-0.6391374606385041,-0.2903624159656689,-0.838662822965941,-0.544650961051937,0,0,0.0006625762325711548,1.0,0.01504063606262207
1.2743382453918457,5,1.9459352493286133,1.3161147832870483,0.0,0.0,1.3336184425763462,1.0379954412687173,0.43982246348148396,-0.6397940979691279,-0.6397940979691279,0.9307303337158626,0.013831191711839193,-0.020061027529791078,-0.6124496442648291,-0.27819873904385733,-0.8301046542370454,-0.5576076246017403,0,0,0.0006557527231052518,1.0,0.015382051467895508
1.2897202968597412,6,1.9459415674209595,1.3161282539367676,0.0,0.0,1.3597025755017773,1.0498438813108664,0.43783977549187686,-0.6370726836801419,-0.6370726836801419,0.9270131595074074,0.013554585520047825,-0.019657388855582297,-0.5864347559431325,-0.2663979985202332,-0.837304877787576,-0.5467362633236726,0,0,0.0006748024025000632,1.0,0.015406131744384766
1.305126428604126,7,1.945944905281067,1.3161187171936035,0.0,0.0,1.384820450381266,1.0612541047452124,0.43569956747322003,-0.6343105530830747,-0.6343105530830747,0.9235323951421398,0.013024978601799131,-0.018863277818197972,-0.5614631822362088,-0.2550884253470336,-0.8297387157227165,-0.5581520076384363,0,0,0.000661455444060266,1.0,0.015356063842773438
1.3204824924468994,8,1.9459443092346191,1.3161180019378662,0.0,0.0,1.4088982745390375,1.0721933336109883,0.43379286792672045,-0.6316817450880905,-0.6316817450880905,0.9199227057363532,0.012774383492618653,-0.018498416780255322,-0.5374014941104611,-0.24416032305348057,-0.8234451383724531,-0.5673958971395294,0,0,0.0006470145308412611,1.0,0.01529073715209961
1.335773229598999,9,1.945947289466858,1.3161286115646362,0.0,0.0,1.4319586551385637,1.0826704722840699,0.4320825261336948,-0.6291669944913851,-0.6291669944913851,0.9162244756658926,0.012755780538136514,-0.018472040788036413,-0.514334913157829,-0.23367903158453848,-0.8316339369395711,-0.5553242250527072,0,0,0.0006442235317081213,1.0,0.015522480010986328
