k_omega,d_des,alpha_1,T_c1,alpha_2,T_c2,p_T_x_0,p_T_y_0,z,sigma,dt
0.5,1,0.55,0.9,0.65,2.5,0,0,-0.0051771169528365135,"[0, 0]",0
t,tStep,p_a_x(t),p_a_y(t),p_T_x(t),p_T_y(t),pT_hat_x(t),pT_hat_y(t),P_11(t),P_12(t),P_21(t),P_22(t),q_1(t),q_2(t),xi_1(t),xi_2(t),varphi_x(t),varphi_y(t),u_x(t),u_y(t),z,sigma,dt
-0.18450355529785156,0,0.9502981901168823,1.9120858907699585,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44505991490379276,-0.8955007940509203,0,0,-0.005210486240684986,1.0,1.3543674945831299
1.1698639392852783,1,0.9502906203269958,1.912093997001648,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4450555588423231,-0.8955029589808999,0,0,-0.005178187042474747,1.0,0.022009849548339844
1.1918737888336182,2,0.9503011703491211,1.9121166467666626,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4450552934396392,-0.8955030908831954,0,0,-0.005177888087928295,1.0,0.015491247177124023
1.2073650360107422,3,0.9503089189529419,1.9121068716049194,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4450600281196458,-0.8955007377831355,0,0,-0.005179828964173794,1.0,0.015392065048217773
1.22275710105896,4,0.9503071904182434,1.9120889902114868,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4450627166022606,-0.8954994016137675,0,0,-0.005187175236642361,1.0,0.015398025512695312
1.2381551265716553,5,0.9503164291381836,1.9120850563049316,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4450669206477525,-0.895497312193134,0,0,-0.0052549587562680244,1.0,0.015523433685302734
1.253678560256958,6,0.95030277967453,1.912072777748108,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4450640862469213,-0.8954987208998085,0,0,-0.005226858891546726,1.0,0.015146493911743164
1.2688250541687012,7,0.9503046274185181,1.9120737314224243,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44506460219146715,-0.8954984644744797,0,0,-0.005218487232923508,1.0,0.01553964614868164
1.2843647003173828,8,0.9503157734870911,1.9120714664459229,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4450692110760939,-0.8954961738344298,0,0,-0.0052469996735453606,1.0,0.015133380889892578
1.2994980812072754,9,0.9503136277198792,1.9120874404907227,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4450654235043508,-0.8954980562797962,0,0,-0.0052325064316391945,1.0,0.0153656005859375
