k_omega,d_des,alpha_1,T_c1,alpha_2,T_c2,p_T_x_0,p_T_y_0,z,sigma,dt
0.55,0.9,0.65,0.9,0.9,2.5,0,0,-0.002693215850740671,"[0, 0]",0
t,tStep,p_a_x(t),p_a_y(t),p_T_x(t),p_T_y(t),pT_hat_x(t),pT_hat_y(t),P_11(t),P_12(t),P_21(t),P_22(t),q_1(t),q_2(t),xi_1(t),xi_2(t),varphi_x(t),varphi_y(t),u_x(t),u_y(t),z,sigma,dt
-0.18500018119812012,0,0.6879143714904785,2.0398693084716797,0.0,0.0,-1.25,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3195528089348443,-0.9475684683978518,0,0,-0.0026698459405452013,1.0,1.362128496170044
1.1771283149719238,1,0.6878342628479004,2.0398924350738525,0.0,0.0,-1.25,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3195161432241524,-0.9475808325515892,0,0,-0.00275661563500762,1.0,0.013001203536987305
1.1901295185089111,2,0.6878991723060608,2.0398943424224854,0.0,0.0,-1.25,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3195429483791788,-0.9475717936605867,0,0,-0.0026641245931386948,1.0,0.015498161315917969
1.205627679824829,3,0.6879352331161499,2.039893388748169,0.0,0.0,-1.25,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3195581229654952,-0.9475666763066172,0,0,-0.002609871095046401,1.0,0.015501022338867188
1.2211287021636963,4,0.6879067420959473,2.039890766143799,0.0,0.0,-1.25,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31954660866491325,-0.9475705593203879,0,0,-0.002650829264894128,1.0,0.015256643295288086
1.2363853454589844,5,0.6879060864448547,2.039874792098999,0.0,0.0,-1.25,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3195485820187039,-0.9475698938494383,0,0,-0.0026704492047429085,1.0,0.015142202377319336
1.2515275478363037,6,0.687929093837738,2.039876937866211,0.0,0.0,-1.25,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31955787631337595,-0.9475667594877341,0,0,-0.002612680196762085,1.0,0.01555776596069336
1.267085313796997,7,0.6879032850265503,2.039898157119751,0.0,0.0,-1.25,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3195441272018886,-0.9475713961337072,0,0,-0.002609977964311838,1.0,0.015498876571655273
1.2825841903686523,8,0.6879253387451172,2.039860725402832,0.0,0.0,-1.25,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31955859053932106,-0.947566518621528,0,0,-0.0026657353155314922,1.0,0.015553951263427734
1.29813814163208,9,0.687910795211792,2.039869546890259,0.0,0.0,-1.25,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31955128376954733,-0.94756898273489,0,0,-0.002671953057870269,1.0,0.015622615814208984
