k_omega,d_des,alpha_1,T_c1,alpha_2,T_c2,p_T_x_0,p_T_y_0,z,sigma,dt
0.5,1,0.55,1.4,0.65,2.5,0,0,0.0003747369919437915,"[0, 0]",0
t,tStep,p_a_x(t),p_a_y(t),p_T_x(t),p_T_y(t),pT_hat_x(t),pT_hat_y(t),P_11(t),P_12(t),P_21(t),P_22(t),q_1(t),q_2(t),xi_1(t),xi_2(t),varphi_x(t),varphi_y(t),u_x(t),u_y(t),z,sigma,dt
-0.18519115447998047,0,0.4664081037044525,1.8925973176956177,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23927927538681942,-0.9709507857612344,0,0,0.0004660983686335385,1.0,1.3495895862579346
1.164398431777954,1,0.46636006236076355,1.892588496208191,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23925709121699965,-0.97095625251727,0,0,0.0003418790001887828,1.0,0.02350926399230957
1.1879076957702637,2,0.4664004147052765,1.8925904035568237,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23927638066843077,-0.9709514991255825,0,0,0.0004580432432703674,1.0,0.015490055084228516
1.2033977508544922,3,0.4663747251033783,1.8926008939743042,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2392627054118088,-0.9709548690845634,0,0,0.0003944547497667372,1.0,0.015500545501708984
1.2188982963562012,4,0.4663393795490265,1.8925864696502686,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23924732918889288,-0.9709586579643757,0,0,0.00032931522582657635,1.0,0.01552724838256836
1.2344255447387695,5,0.4663572609424591,1.8926054239273071,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23925371883390098,-0.9709570835130401,0,0,0.0003578184696380049,1.0,0.015135049819946289
1.2495605945587158,6,0.4663700461387634,1.892602562904358,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23926024348651537,-0.9709554757489004,0,0,0.0003488479705993086,1.0,0.015493154525756836
1.2650537490844727,7,0.4663463830947876,1.8925950527191162,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2392496936548996,-0.9709580753493102,0,0,0.000294059282168746,1.0,0.015622377395629883
1.2806761264801025,8,0.4664396643638611,1.8926204442977905,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23929178309697516,-0.9709477032993437,0,0,0.00045930888154543936,1.0,0.015506744384765625
1.2961828708648682,9,0.4663812816143036,1.8926151990890503,0.0,0.0,-0.55,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2392641715813085,-0.9709545077898913,0,0,0.00031980499625205994,1.0,0.01526021957397461
